id,timestamp,device_id,device_name,action,details
166,2025-08-09T20:24:35.570428,45,PCALEX,DEVICE_CREATED,Dispositivo criado na loja ID 8
171,2025-08-09T23:26:09.587223,48,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36",DEVICE_CREATED,Dispositivo criado na loja ID 1
194,2025-08-13T17:50:20.369558,60,Novo Equipamento 4147978b,DEVICE_CREATED,Dispositivo criado na loja ID 6
203,2025-08-14T23:11:07.027158,65,Novo Equipamento 6d77449c,DEVICE_CREATED,Dispositivo criado na loja ID 6
204,2025-08-23T00:50:18.479472,,,PRODUCTS_BULK_UPSERT,"{""user"": ""deploytest"", ""result"": {""inserted"": 2, ""updated"": 0, ""ignored"": 0}}"
205,2025-08-23T21:52:06.572789,,918177ed-43a1-4361-b40a-fa9979d750a9,PRICE_QUERY_OK,"{""barcode"": ""30"", ""price"": 15.97, ""error"": null}"
206,2025-08-23T21:52:24.917624,,918177ed-43a1-4361-b40a-fa9979d750a9,PRICE_QUERY_FAIL,"{""barcode"": ""50"", ""price"": null, ""error"": ""network""}"
207,2025-08-23T21:52:27.411685,,918177ed-43a1-4361-b40a-fa9979d750a9,PRICE_QUERY_FAIL,"{""barcode"": ""50"", ""price"": null, ""error"": ""network""}"
208,2025-08-23T21:52:32.282610,,918177ed-43a1-4361-b40a-fa9979d750a9,PRICE_QUERY_FAIL,"{""barcode"": ""70"", ""price"": null, ""error"": ""network""}"
209,2025-08-23T21:52:35.760993,,918177ed-43a1-4361-b40a-fa9979d750a9,PRICE_QUERY_OK,"{""barcode"": ""470"", ""price"": 61.9, ""error"": null}"
210,2025-08-23T23:15:41.456768,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
211,2025-08-23T23:53:58.960894,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
212,2025-08-24T00:48:33.989648,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
213,2025-08-24T01:19:56.041752,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
214,2025-08-24T01:31:16.768479,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
215,2025-08-24T01:44:28.471804,,918177ed-43a1-4361-b40a-fa9979d750a9,PRICE_QUERY_OK,"{""barcode"": ""30"", ""price"": 15.97, ""error"": null}"
216,2025-08-24T01:59:57.985159,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
217,2025-08-24T02:01:37.699986,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
218,2025-08-24T02:19:11.142844,,918177ed-43a1-4361-b40a-fa9979d750a9,PRICE_QUERY_OK,"{""barcode"": ""30"", ""price"": 15.97, ""error"": null}"
219,2025-08-24T02:31:40.957912,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
220,2025-08-24T03:01:44.226546,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
221,2025-08-24T03:31:47.527465,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
222,2025-08-24T04:01:51.296255,,,PRODUCTS_BULK_UPSERT,"{""user"": ""admin"", ""result"": {""inserted"": 0, ""updated"": 23472, ""ignored"": 0}}"
