barcode,name,price,promo
691,VAGEM MAC.EMB.kg,35.99,
692,PIMENTA ARDIDA EMB.kg,25.71,
694,ZARBO SALG.SC.kg,72.9,
695,CEBOLA kg,9.97,
696,BACALHAU SALG.SC.GADUS MACROCEPHALUS OR.,109.9,
699,CAMARAO ROSA GDE.kg,149.5,
702,FILE ABROTEA kg,47.99,
703,PEIXE ANCHOVA kg,29.9,
704,STROGONOFF M.COXAO MOLE EMB.kg,49.99,
705,PEIXE ATUM kg,31.9,
706,PEIXE BONITO kg,10.9,
707,PEIXE ABADEJO kg,68.99,
709,PEIXE BAGRE kg,16.49,
711,PEIXE CACONETE kg,17.99,
712,BIFE PARIS M.COXAO MOLE EMB.kg,49.99,
713,PEIXE CARAPAU kg,17.9,
719,PEIXE CAVALINHA kg,12.9,
720,PEIXE CONGRIO RS.kg,35.99,
722,PEIXE CURIMBATA kg,24.9,
723,PEIXE CORVINA kg,22.9,
725,PEIXE ESPADA kg,16.9,
726,PEIXE GAROUPA kg,64.99,
727,CAMAFEU CHOC.BCO.90g,9.45,
728,PEIXE GOETE kg,16.99,
734,PEIXE LINGUADO kg,57.99,
738,PEIXE MANJUBA kg,22.9,
742,CAQUI FUYU kg,13.99,
743,PINHAO EMB.kg,13.99,
744,LARANJA BAHIA kg,8.89,
745,ROMA kg,29.99,
748,LARANJA LIMA kg,7.79,
749,BOLO TORTA MOR.kg,55.9,
751,PIMENTA CAMBUCI EMB.kg,32.86,
752,MEXERICA PONKAN kg,5.99,
753,BERINJELA P CONS.EMB.kg,25.71,
754,FRANGO ASSADO SONDA kg,32.99,
755,INHAME EMB.kg,13.99,
757,NECTARINA IMP.kg,9.99,
759,FILE MARIA MOLE kg,34.99,
764,BAGUETE C GERGELIM kg,22.89,
766,PEIXE NAM.KG kg,71.99,
769,PEIXE PESCADA PAN GDE.kg,31.9,
771,BAGUETE SIMPLES kg,19.45,
772,PEIXE PARGO kg,39.99,
773,QUEIJO PRATO FAT.kg,45.9,
774,PP COSTELA BOVINA ASSADA kg,95.9,
780,PEIXE PIAUSSU kg,18.99,
783,ABOBORA MORANGA kg,2.99,
786,BISNAGUINHA COCO kg,25.9,
787,COXAO DURO PED.kg,29.99,
789,POLVO kg,99.9,
791,PEIXE PORCO kg,26.9,
793,PEIXE SALM.FRES.INT.kg,64.9,
794,PEIXE SARDINHA kg,13.9,
805,PEIXE TAINHA kg,19.9,
807,PEIXE TRAIRA kg,25.99,
808,BRIOCHE C RICOTA kg,45.9,
809,PEIXE TRILHA kg,28.99,
810,BRIOCHE CHOC.kg,48.9,
812,ROSQUINHA BRIOCHE CRISTAL kg,44.9,
813,PEIXE TUCUNARE kg,31.99,
814,PEIXE VERM.kg,57.99,
817,BRIOCHE FRUTAS kg,44.9,
821,BRIOCHINHO kg,44.9,
824,PAO PORTUGUES kg,25.9,
825,BOLO PASCOA FRUTAS kg,27.9,
826,PANETTONE CHOCOLATE kg,24.9,
827,PANETTONE FRUTAS kg,24.9,
830,BIFE P ROLE C.DURO EMB.kg,49.99,
835,PAO CASEIRO kg,17.9,
836,PAO CENOURA kg,28.9,
839,PATINHO PED.kg,41.99,
840,BIFE P MIL.PATINHO EMB.kg,47.99,
841,FILE ABADEJO EMB.kg,59.99,
842,QUEIJO PRATO PED.kg,43.9,
843,PAO CIABATA SIMPLES kg,27.9,
845,PAO KUKA TRAD.kg,36.9,
846,BIFE SALTADO LAGARTO EMB.kg,54.99,
847,PAO ACUCAR kg,37.9,
849,PAO BATATA kg,30.9,
854,PAO OVOS kg,31.9,
857,MAMINHA TRAD.EMB.kg,36.99,
860,PEPINO JAP.EMB.kg,9.99,
862,PAO FORMA 500g,6.45,
876,PAO ITALIANO kg,21.9,
878,FILE MIG.BIFE kg,84.9,
879,PAO MILHO kg,26.9,
880,PAO MINI HOT DOG kg,20.9,
881,PAO FRANCES MINI kg,17.9,
883,CONTRA FILE PED.kg,45.99,
884,BIFE PALHA C.FILE EMB.kg,69.99,
886,FOX FILE C.FILE EMB.kg,65.99,
888,MEDALHOES FILE MIG.EMB.kg,95.9,
889,PAO SOVADO QUEIJO kg,26.9,
890,PAO SOVADO kg,21.9,
897,CHATEAUBRIAND F.MIG.EMB.kg,95.9,
898,PAO WANDERLEIA CRISTAL kg,34.9,
899,KIWI kg,23.7,
901,PETTIFOUR C QJ.RALADO EMB.kg,37.9,
904,ROSCA COCO kg,37.9,
905,ROSCA CREME kg,26.9,
918,SEQUILHOS TRADICIONAL kg,33.9,
925,PIMENTAO VDE.EMB.kg,14.99,
927,PIMENTAO VERM.EMB.kg,35.99,
929,PIMENTAO AMAR.EMB.kg,35.99,
930,PIMENTA AMER.EMB.kg,34.29,
931,ABOBRINHA ITAL.EMB.kg,8.99,
933,CHUCHU EMB.kg,5.99,
934,PAO BANHA kg,18.9,
935,TOMATE CARMEM EMB.kg,15.0,
936,BERINJELA EMB.kg,7.99,
938,NECTARINA IMP.EMB.kg,16.99,
940,KIWI EMB.kg,32.09,
941,PESSEGO IMP.EMB.kg,27.99,
942,GOIABA BCA.EMB.kg,4.0,
944,PINHA EMB.kg,26.0,
945,AMEIXA IMP.EMB.kg,22.99,
946,BETERRABA EMB.kg,13.0,
947,PEPINO COMUM EMB.kg,6.99,
948,QUIABO EMB.kg,22.86,
949,CARA EMB.kg,17.99,
950,MACA GALA EMB.kg,19.5,
952,CENOURA EMB.kg,13.5,
955,LARANJA PERA kg,5.69,
963,DELICIA MOR.120g,7.9,
964,TORTINHA MOR.140G,14.9,
965,GRAPE FRUIT kg,8.99,
968,BOLO CENOURA kg,39.9,
970,CAQUI FUYU EMB.kg,20.0,
971,ABOBORA PAUL.kg,3.69,
985,PINHAO kg,13.99,
988,VONGOLE C CAS.kg,4.99,
990,QUEIJO PROV.PED.kg,52.9,
991,QUEIJO PROV.FAT.kg,56.9,
1001,PEIXE SALM.POSTAS kg,84.9,
1002,FILE SALM.C PELE FRES.kg,94.9,
1005,CAQUI QUIOMBO kg,13.99,
1006,BATATA DC.ROSADA EMB.kg,6.39,
1007,BATATA DC.BCA.EMB.kg,10.99,
1008,MACA FUJI EMB.kg,21.52,
1009,ABOBRINHA BRAS.EMB.kg,6.99,
1012,CAQUI QUIOMBO EMB.kg,20.0,
1013,JILO EMB.kg,19.99,
1014,MAXIXE EMB.kg,9.99,
1015,PEPINO CAIP.EMB.kg,5.99,
1016,MACA RED EMB.kg,20.99,
1023,SANDUICHE NATURAL QUEIJO SALAME kg,49.9,
1024,QUEIJO MUSS.RAL.P PIZZA kg,43.9,
1025,QUEIJO PRATO RAL.P PIZZA kg,43.9,
1026,SANDUICHE NATURAL PEITO PERU kg,41.9,
1028,SANDUICHE NATURAL PRES.QUEIJO kg,39.9,
1029,SANDUICHE NATURAL ROSBIFE kg,50.9,
1030,BOLO COCO TRAD.kg,37.9,
1033,LARANJA SELETA kg,6.99,
1035,MACA GRASMITI kg,15.99,
1037,FILE SARDINHA EMB.kg,24.9,
1067,GENGIBRE EMB.kg,13.99,
1068,MARACUJA DC.EMB.kg,30.0,
1070,MACA RED kg,14.99,
1071,PEIXE CAVALA kg,28.99,
1073,MANGA TOMMY EMB.kg,13.0,
1079,MANGA HADEN EMB.kg,14.0,
1081,ATEMOYA kg,19.99,
1087,BOLO TRUFADO DE MARACUJA kg,59.9,
1096,AMEIXA VERM.NAC.EMB.kg,19.0,
1101,PEIXE PIRANHA kg,14.99,
1105,FILE TRAIRA EMB.kg,39.99,
1136,TABUA FRIOS MISTA kg,46.0,
1143,ROCAMBOLE MOR.kg,49.9,
1144,BOLO CENOURA C CHOC.kg,39.9,
1147,CASADINHO kg,36.9,
1151,PAO DOIS QUEIJOS kg,38.9,
1152,PAO MINUTO kg,20.9,
1159,MUSCULO DIANT.PC.kg,25.99,
1230,LAGARTO BIFE kg,31.99,
1251,APRESUNTADO AUR.FAT.kg,25.4,
1262,PEIXE PINTADO kg,34.9,
1263,PEIXE ROBALO kg,94.99,
1266,PEIXE TAMBAQUI kg,27.9,
1272,MAMINHA ESP.EMB.kg,54.99,
1273,BABY BIFE  M.ALCATRA EMB.kg,59.99,
1275,LULA kg,64.99,
1276,FILE LINGUADO kg,87.99,
1289,PEIXE ABROTEA kg,21.99,
1291,PEIXE MARIA MOLE kg,21.9,
1302,COXAO MOLE PED.kg,41.99,
1304,PEITO BOV.PED.EMB.kg,35.99,
1325,ALCATRA C MAM.PED.kg,36.99,
1332,ERVILHA TORTA EMB.kg,49.99,
1352,ROSCA MACA kg,34.9,
1353,ROSCA BANANA kg,29.9,
1357,CANUDO DOCE DE LEITE kg,33.9,
1358,CANUDO CREME BAUNILHA kg,39.9,
1367,BATATA MIUDA kg,6.89,
1398,BOLO PASCOA CHOC.kg,29.9,
1400,ROSCA FRUTAS CRISTALIZADAS kg,24.9,
1410,APRESUNTADO AUR.PED.kg,23.1,
1415,PRESUNTO AUR.COZ.S CAPA PED.kg,26.8,
1416,PRESUNTO AUR.COZ.S CAPA FAT.kg,25.2,
1418,PRESUNTO SAD.COZ.S CAPA PED.kg,34.9,
1419,PRESUNTO SAD.COZ.S CAPA FAT.kg,38.4,
1421,PRESUNTO PERD.COZ.S CAPA FAT.kg,33.9,
1422,PRESUNTO PERD.COZ.S CAPA PED.kg,30.9,
1432,BOLO MARACUJA TRAD.kg,32.9,
1433,ATEMOYA EMB.kg,30.0,
1441,PEIXE CAMBUCU kg,49.99,
1443,PEIXE PESCADA DO SUL kg,13.99,
1453,FILE PESCADA BCA.kg,69.9,
1455,FILE PESCADA DO SUL kg,52.9,
1457,PEIXE GALO kg,14.99,
1459,PAO C CEREAIS LIGHT kg,27.9,
1485,BIFE PANELA M.PALETA EMB.kg,49.99,
1486,BIFE CAIPIRA M.PALETA EMB.kg,42.99,
1489,PEIXINHO ESP.EMB.kg,42.99,
1490,BIFE BORBOLETA PALETA EMB.kg,42.99,
1492,STROGONOFF M.FILE MIG.EMB.kg,95.9,
1532,BATATA ASTERIX kg,9.99,
1534,BATATA BOLINHA kg,7.89,
1580,MUFFIN C CHOC.EMB.KG,45.9,
1679,TORTINHA LIMAO 100g,9.39,
1684,PEIXE AGULHAO kg,21.99,
1750,GOIABINHA kg,53.9,
1753,BOLO C PUDIM kg,38.9,
1755,BOLO C BANANA kg,40.9,
1809,BOLO SATIM CR.LIMAO kg,46.9,
1810,BOLO SATIM CR.CHOC.kg,50.9,
