id,store_id,name,status,last_sync,online,identifier,last_catalog_sync,catalog_count
45,8,PCALEX,ativo,2025-09-02T02:06:07.242976,1,918177ed-43a1-4361-b40a-fa9979d750a9,2025-09-02T00:18:12.741829,23472
48,7,CelLolo,ativo,2025-08-13T18:22:01.885562,1,1e08d649-5296-4f20-a64b-f916fc40442c,,
60,9,CelAlex,ativo,2025-09-02T03:41:47.642921,1,4147978b-91c0-42f1-92e1-45bc49038c9b,2025-09-02T03:41:51.400549,23472
65,11,CelCorp,ativo,2025-08-15T01:52:40.577817,1,6d77449c-45f9-4962-b85a-d9446c91ecbb,,
67,6,CelDourado,ativo,2025-09-01T22:40:07.744194,1,47f41ad0-7cd6-40c7-83c3-09300ab2826d,2025-09-01T22:37:41.348360,23472
